Date.Day,Date.Full,Date.Month,Date.Year,Show.Name,Show.Theatre,Show.Type,Statistics.Attendance,Statistics.Capacity,Statistics.Gross,Statistics.Gross Potential,Statistics.Performances
11,1/11/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7940,97,860928,90,8
11,1/11/2015,1,2015,The Elephant Man 2014,Booth,Play,6265,101,994390,106,8
11,1/11/2015,1,2015,The Last Ship,Neil Simon,Musical,8230,76,840468,68,8
11,1/11/2015,1,2015,The Lion King,Minskoff,Musical,13337,98,1840464,100,8
11,1/11/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,10531,82,814242,54,8
11,1/11/2015,1,2015,The River,Circle In The Square,Play,5387,97,668724,89,8
11,1/11/2015,1,2015,Wicked,Gershwin,Musical,13591,94,1593224,95,8
11,1/11/2015,1,2015,You Can'T Take It With You,Longacre,Play,5262,61,392715,40,8
18,1/18/2015,1,2015,A Delicate Balance 2014,Golden,Play,5349,83,641797,72,8
18,1/18/2015,1,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6926,95,749039,78,8
18,1/18/2015,1,2015,Aladdin,New Amsterdam,Musical,13785,100,1487116,105,8
18,1/18/2015,1,2015,Beautiful,Stephen Sondheim,Musical,7630,93,1062857,83,8
18,1/18/2015,1,2015,Cabaret '14,Studio 54,Musical,7013,98,914904,90,8
18,1/18/2015,1,2015,Chicago,Ambassador,Musical,5771,67,437317,44,8
18,1/18/2015,1,2015,Constellations,Friedman,Play,5828,100,432399,55,9
18,1/18/2015,1,2015,Disgraced,Lyceum,Play,5238,71,404998,52,8
18,1/18/2015,1,2015,Hedwig And The Angry Inch,Belasco,Musical,6633,94,692620,94,7
18,1/18/2015,1,2015,Honeymoon In Vegas,Nederlander,Musical,7659,83,440476,43,5
18,1/18/2015,1,2015,If/Then,Richard Rodgers,Musical,8377,80,651330,50,8
18,1/18/2015,1,2015,It'S Only A Play,Schoenfeld,Play,7340,86,693963,61,8
18,1/18/2015,1,2015,Jersey Boys,August Wilson,Musical,8032,82,742891,65,8
18,1/18/2015,1,2015,Kinky Boots,Al Hirschfeld,Musical,9658,85,1051429,68,8
18,1/18/2015,1,2015,Les Miserables '14,Imperial,Musical,8990,80,724649,59,8
18,1/18/2015,1,2015,Mamma Mia!,Broadhurst,Musical,6333,68,476709,48,8
18,1/18/2015,1,2015,Matilda,Shubert,Musical,11041,96,987374,77,8
18,1/18/2015,1,2015,Motown The Musical,Lunt-Fontanne,Musical,12196,90,1299340,81,9
18,1/18/2015,1,2015,On The Town 2014,Lyric,Musical,9863,66,649289,36,8
18,1/18/2015,1,2015,Rock Of Ages,Helen Hayes,Musical,4542,97,492533,87,8
18,1/18/2015,1,2015,The Book Of Mormon,Eugene O'Neill,Musical,8752,103,1659010,115,8
18,1/18/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,8101,99,883489,92,8
18,1/18/2015,1,2015,The Elephant Man 2014,Booth,Play,3978,103,678450,112,5
18,1/18/2015,1,2015,The Last Ship,Neil Simon,Musical,9017,84,838274,67,8
18,1/18/2015,1,2015,The Lion King,Minskoff,Musical,13200,97,1721611,94,8
18,1/18/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,9402,73,747735,50,8
18,1/18/2015,1,2015,The River,Circle In The Square,Play,5698,102,722987,96,8
18,1/18/2015,1,2015,Wicked,Gershwin,Musical,14310,99,1684664,100,8
18,1/18/2015,1,2015,You Can'T Take It With You,Longacre,Play,5883,69,445041,45,8
25,1/25/2015,1,2015,A Delicate Balance 2014,Golden,Play,4941,77,562850,63,8
25,1/25/2015,1,2015,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,6547,90,667767,70,8
25,1/25/2015,1,2015,Aladdin,New Amsterdam,Musical,13747,100,1347820,104,8
25,1/25/2015,1,2015,Beautiful,Stephen Sondheim,Musical,7637,93,1047501,82,8
25,1/25/2015,1,2015,Cabaret '14,Studio 54,Musical,7004,98,911305,89,8
25,1/25/2015,1,2015,Chicago,Ambassador,Musical,5787,67,427273,43,8
25,1/25/2015,1,2015,Constellations,Friedman,Play,5155,99,499445,64,8
25,1/25/2015,1,2015,Disgraced,Lyceum,Play,4928,67,360932,46,8
25,1/25/2015,1,2015,Hedwig And The Angry Inch,Belasco,Musical,5268,87,609617,93,6
25,1/25/2015,1,2015,Honeymoon In Vegas,Nederlander,Musical,6699,73,425029,37,8
25,1/25/2015,1,2015,If/Then,Richard Rodgers,Musical,7992,76,635189,49,8
25,1/25/2015,1,2015,It'S Only A Play,Jacobs,Play,4722,88,462008,62,5
25,1/25/2015,1,2015,Jersey Boys,August Wilson,Musical,7798,79,710588,62,8
25,1/25/2015,1,2015,Kinky Boots,Al Hirschfeld,Musical,9890,87,1001877,67,8
25,1/25/2015,1,2015,Les Miserables '14,Imperial,Musical,8391,74,609270,50,8
25,1/25/2015,1,2015,Mamma Mia!,Broadhurst,Musical,6563,70,463090,47,8
25,1/25/2015,1,2015,Matilda,Shubert,Musical,10110,88,805176,63,8
25,1/25/2015,1,2015,On The Town 2014,Lyric,Musical,9035,60,624882,35,8
25,1/25/2015,1,2015,The Book Of Mormon,Eugene O'Neill,Musical,8750,103,1575262,113,8
25,1/25/2015,1,2015,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,7890,97,820145,86,8
25,1/25/2015,1,2015,The Elephant Man 2014,Booth,Play,6304,102,1035819,110,8
25,1/25/2015,1,2015,The Last Ship,Neil Simon,Musical,9459,88,843445,68,8
25,1/25/2015,1,2015,The Lion King,Minskoff,Musical,13056,96,1641207,90,8
25,1/25/2015,1,2015,The Phantom Of The Opera,Majestic,Musical,9235,72,689571,46,8
25,1/25/2015,1,2015,The River,Circle In The Square,Play,5531,99,616535,82,8
25,1/25/2015,1,2015,Wicked,Gershwin,Musical,14236,98,1500725,89,8
25,1/25/2015,1,2015,You Can'T Take It With You,Longacre,Play,5613,65,441995,45,8
